hit_id	replicon	position_hit	hit_sequence_length	gene_name
NC_017954.1_1019	UserReplicon	1019	297	cas3HD_I_1
NC_017954.1_1020	UserReplicon	1020	627	cas3_I_2
NC_017954.1_1020	UserReplicon	1020	627	cas3_I_5
NC_017954.1_1021	UserReplicon	1021	398	cas8a3_I-A_1
NC_017954.1_1022	UserReplicon	1022	310	cas5_I-A_4
NC_017954.1_1023	UserReplicon	1023	359	cas7_I-A_1
NC_017954.1_1023	UserReplicon	1023	359	cas7_I-B_1
NC_017954.1_1023	UserReplicon	1023	359	cas7_I_15
NC_017954.1_1024	UserReplicon	1024	142	csa5gr11_I-A_7
NC_017954.1_1025	UserReplicon	1025	210	casR_I_2
NC_017954.1_1025	UserReplicon	1025	210	casR_I_1
NC_017954.1_1032	UserReplicon	1032	195	drmC
NC_017954.1_1032	UserReplicon	1032	195	Mokosh_TypeI_MkoB
NC_017954.1_1034	UserReplicon	1034	140	HEPN
NC_017954.1_1041	UserReplicon	1041	320	cas6_I-A_III-D_3
NC_017954.1_1041	UserReplicon	1041	320	cas6_I_II_III_IV_V_VI_22
NC_017954.1_1043	UserReplicon	1043	281	cas4_I-A_2
NC_017954.1_1043	UserReplicon	1043	281	cas4_I_II_III_IV_V_VI_7
NC_017954.1_1043	UserReplicon	1043	281	cas4_I-A_1
NC_017954.1_1044	UserReplicon	1044	428	cas1_I_II_III_IV_V_VI_7
NC_017954.1_1044	UserReplicon	1044	428	cas1_I_II_III_IV_V_VI_10
NC_017954.1_1044	UserReplicon	1044	428	cas1_I_II_III_IV_V_VI_5
NC_017954.1_1044	UserReplicon	1044	428	cas1_I_II_III_IV_V_VI_2
NC_017954.1_1044	UserReplicon	1044	428	cas1_I_II_III_IV_V_VI_1
NC_017954.1_1044	UserReplicon	1044	428	cas1_I_II_III_IV_V_VI_8
NC_017954.1_1045	UserReplicon	1045	170	cas4_I_II_III_IV_V_VI_1
NC_017954.1_1045	UserReplicon	1045	170	cas4_I_II_III_IV_V_VI_6
NC_017954.1_1046	UserReplicon	1046	213	casR_I_2
NC_017954.1_1046	UserReplicon	1046	213	casR_I_1
NC_017954.1_1070	UserReplicon	1070	198	ShosTA_ShosT
NC_017954.1_1100	UserReplicon	1100	167	Mokosh_TypeI_MkoB2
NC_017954.1_1100	UserReplicon	1100	167	WH
NC_017954.1_1102	UserReplicon	1102	240	AAA_21
NC_017954.1_1153	UserReplicon	1153	893	PsyrTA_PsyrT
NC_017954.1_1153	UserReplicon	1153	893	Shango_SngC
NC_017954.1_1153	UserReplicon	1153	893	HamB
NC_017954.1_1153	UserReplicon	1153	893	brxHI
NC_017954.1_1170	UserReplicon	1170	273	AAA_21
NC_017954.1_1188	UserReplicon	1188	91	DarG
NC_017954.1_1198	UserReplicon	1198	1010	RL_C
NC_017954.1_1198	UserReplicon	1198	1010	Type_II_MTases
NC_017954.1_1199	UserReplicon	1199	1245	RL_A
NC_017954.1_1201	UserReplicon	1201	1043	drmD
NC_017954.1_1206	UserReplicon	1206	500	HerA_DUF
NC_017954.1_1289	UserReplicon	1289	752	LmuB_SMC_PDDEXK
NC_017954.1_1289	UserReplicon	1289	752	LmuB_SMC_Cap4_nuclease_II
NC_017954.1_1289	UserReplicon	1289	752	LmuB
NC_017954.1_1289	UserReplicon	1289	752	LmuB_SMC_Amidase
NC_017954.1_1289	UserReplicon	1289	752	LmuB_SMC_Hydrolase_protease
NC_017954.1_1289	UserReplicon	1289	752	LmuB_SMC_Mrr
NC_017954.1_1289	UserReplicon	1289	752	LmuB_SMC_Cap4_nuclease
NC_017954.1_1289	UserReplicon	1289	752	JetC_III
NC_017954.1_1290	UserReplicon	1290	667	HerA_DUF
NC_017954.1_1304	UserReplicon	1304	199	LmuB_SMC_PDDEXK
NC_017954.1_1304	UserReplicon	1304	199	LmuB_SMC_Cap4_nuclease_II
NC_017954.1_1304	UserReplicon	1304	199	LmuB_SMC_Hydrolase_protease
NC_017954.1_1304	UserReplicon	1304	199	LmuB_SMC_Lipase
NC_017954.1_1304	UserReplicon	1304	199	LmuB_SMC_Mrr
NC_017954.1_1306	UserReplicon	1306	239	QatD
NC_017954.1_1339	UserReplicon	1339	760	PsyrTA_PsyrT
NC_017954.1_1339	UserReplicon	1339	760	Shango_SngC
NC_017954.1_1339	UserReplicon	1339	760	brxHI
NC_017954.1_135	UserReplicon	135	175	ShosTA_ShosT
NC_017954.1_1356	UserReplicon	1356	713	Shango_SngC
NC_017954.1_1356	UserReplicon	1356	713	HamB
NC_017954.1_1405	UserReplicon	1405	1007	LmuB_SMC_Cap4_nuclease_II
NC_017954.1_1405	UserReplicon	1405	1007	LmuB_SMC_Hydrolase_protease
NC_017954.1_1421	UserReplicon	1421	210	Type_II_MTases
NC_017954.1_156	UserReplicon	156	740	IetA
NC_017954.1_22	UserReplicon	22	653	LmuB_SMC_Cap4_nuclease_II
NC_017954.1_231	UserReplicon	231	546	Type_I_REases
NC_017954.1_234	UserReplicon	234	305	AAA_21
NC_017954.1_25	UserReplicon	25	293	Mokosh_TypeI_MkoA
NC_017954.1_271	UserReplicon	271	323	drmMII
NC_017954.1_271	UserReplicon	271	323	DruM
NC_017954.1_271	UserReplicon	271	323	Type_II_MTases
NC_017954.1_275	UserReplicon	275	168	RosmerTA_RmrA_2662548665
